ID,Nombre,X,Y,Carga,Diametro,Instalacion,Ubicacion,SensorMaterial,SensorUbicacion,FuenteTipo1,FuenteNombre1,FuenteUbicacion1,FuenteTipo2,FuenteNombre2,FuenteUbicacion2
62,DELFIN MADRIGAL,-99.1734666667,19.320675,0.21,48,2019,Av. Dr. Antonio Delfín Madrigal Colonia Pedregal Santo Domingo Alcaldía Coyoacán C.P.  04510,Acero,Lomo del tubo,Tanque,Tanque Cuicuilco,"Av. Antonio Delfín Madrigal, casi Av. Aztecas Ciudad Universitaria Alcaldía Coyoacán C.P. 04510",,,
63,MAR DE LAS LLUVIAS,-98.9989888889,19.2896944444,0.27,48,2019,Av.Mar de las Lluvias y Estanislao Ramirez Colonia Selene 1a Sección Alcaldía Tláhuac C.P. 13430,Acero,Lomo del tubo,Pozo,Pozos Tecómitl,Sin descripción,,,
64,AGUSTIN DIAZ (Zapotitlan),-99.035175,19.2964472222,0.325,36,2019,Av. Tláhuac y Sebastián Trejo Colonia Conchita Zapotitlán Alcaldía Tláhuac C.P. 13300,Concreto,Eje del tubo,Pozo,Pozos Tulyehualco,Sin descripción,,,
65,AVENIDA DEL TRABAJO,-99.0297166667,19.3018,0.27,48,2019,Calle del Trabajo y Cda. Del Trabajo Colonia Santiago Norte Alcaldía Tláhuac C.P.  13300,Concreto,Eje del tubo,Pozo,Pozos Tecómitl,Sin descripción,,,
66,PROL. DIVISION DEL NORTE,-99.1261361111,19.2833611111,0.307,6,2019,Av. Prol. Div. Norte y Cda. Pensamiento  Colonia San Bartolo el Chico Alcaldía Xochimilco C.P. 16010,Fierro Fundido,Lomo del tubo,Pozo,Pozos de la zona,Sin descripción,,,
67,HIDALGO,-99.188675,19.481375,0.4,48,2019,Av. Aquiles Serdán y Miguel Hidalgo Colonia San Mateo Alcaldía Azcapotzalco C.P.  02490,Acero,Eje del tubo,Tanque,Tanques Aero Club,Campo Militar N° 1 Calzada San Esteban y Puerta N° 7 Colonia Residencia Militar Estado de México C.P 11600,,,
68,EJE 4 NORTE,-99.1733194444,19.4908777778,0.375,48,2019,Av. Eje 4 Norte y Av. de las Granjas Colonia Ferrería  Alcaldía Azcapotzalco C.P.  02310,Acero,Lomo del tubo,Tanque,Tanques Aero Club,Campo Militar N° 1 Calzada San Esteban y Puerta N° 7 Colonia Residencia Militar Estado de México C.P 11600,,,
69,NORTE 73,-99.1755194444,19.4647916667,0.315,48,2019,Av. Norte 73 y Poniente 58 Colonia Obrero Popular  Alcaldía Azcapotzalco  C.P.  02840,Acero,Lomo del tubo,Tanque,Tanques Aero Club,Campo Militar N° 1 Calzada San Esteban y Puerta N° 7 Colonia Residencia Militar Estado de México C.P 11600,,,
70,TRANSVAAL,-99.1024388889,19.4472888889,0.27,20,2019,Av. Eje 2 Norte (Transvaal) y E. Zapata Colonia Primero de Mayo Alcaldía Venustiano Carranza C.P. 15440,Concreto,Lomo del tubo,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000,,,
71,SANTIAGO,-99.1221111111,19.390275,0.32,20,2019,Av. Eje 2 Oriente esquina Santiago Colonia Santiago Norte Alcaldía Iztacalco C.P.  08240,Fierro Fundido,Lomo del tubo,Tanque,Tanque Santa Lucía,Av. Tiziano y Rosa Negra Colonia Alfalfar Alcaldía Álvaro Obregón C.P. 01470,Tanque,Tanque Dolores,Av. Anillo Periférico Blvd. Adolfo L Mateos por Circuito de las Fuentes Colonia 2a Sec. del Bosque de Chapultepec Alcaldía Miguel Hidalgo C.P. 11000
